nodeType_addr	nodeType_addr	type	
Root_134515422	Flag_134515422	IS_ANNOTATED_BY
Root_134515422	Flag_134515422	IS_ANNOTATED_BY
Root_134515470	Flag_134515470	IS_ANNOTATED_BY
Root_134515470	Flag_134515470	IS_ANNOTATED_BY
Root_134515490	Flag_134515490	IS_ANNOTATED_BY
Root_134515490	Flag_134515490	IS_ANNOTATED_BY
Root_134515529	Flag_134515529	IS_ANNOTATED_BY
Root_134515529	Flag_134515529	IS_ANNOTATED_BY
Root_134515556	Flag_134515556	IS_ANNOTATED_BY
Root_134515556	Flag_134515556	IS_ANNOTATED_BY
Root_134515576	Flag_134515576	IS_ANNOTATED_BY
Root_134515576	Flag_134515576	IS_ANNOTATED_BY
Root_134515582	Flag_134515582	IS_ANNOTATED_BY
Root_134515582	Flag_134515582	IS_ANNOTATED_BY
Root_134515601	Flag_134515601	IS_ANNOTATED_BY
Root_134515601	Flag_134515601	IS_ANNOTATED_BY
Root_134515606	Flag_134515606	IS_ANNOTATED_BY
Root_134515606	Flag_134515606	IS_ANNOTATED_BY
Root_134515616	Flag_134515616	IS_ANNOTATED_BY
Root_134515632	Flag_134515632	IS_ANNOTATED_BY
Root_134515722	Flag_134515722	IS_ANNOTATED_BY
Root_134515728	Flag_134515728	IS_ANNOTATED_BY
Root_134515768	Flag_134515768	IS_ANNOTATED_BY
Root_134515768	Flag_134515768	IS_ANNOTATED_BY
Root_134515768	Flag_134515768	IS_ANNOTATED_BY
Root_134515796	Flag_134515796	IS_ANNOTATED_BY
Root_134515796	Flag_134515796	IS_ANNOTATED_BY
Root_134515796	Flag_134515796	IS_ANNOTATED_BY
Root_134515800	Flag_134515800	IS_ANNOTATED_BY
Root_134515804	Flag_134515804	IS_ANNOTATED_BY
Root_134515820	Flag_134515820	IS_ANNOTATED_BY
Root_134515820	Flag_134515820	IS_ANNOTATED_BY
Root_134515820	Flag_134515820	IS_ANNOTATED_BY
Root_134516000	Flag_134516000	IS_ANNOTATED_BY
Root_134516000	Flag_134516000	IS_ANNOTATED_BY
Root_134516756	Flag_134516756	IS_ANNOTATED_BY
Root_134516760	Flag_134516760	IS_ANNOTATED_BY
Root_134516760	Flag_134516760	IS_ANNOTATED_BY
Root_134520910	Flag_134520910	IS_ANNOTATED_BY
Root_134520910	Flag_134520910	IS_ANNOTATED_BY
Root_134520912	Flag_134520912	IS_ANNOTATED_BY
Root_134520912	Flag_134520912	IS_ANNOTATED_BY
Root_134520912	Flag_134520912	IS_ANNOTATED_BY
Root_134520912	Flag_134520912	IS_ANNOTATED_BY
Root_134520920	Flag_134520920	IS_ANNOTATED_BY
Root_134520924	Flag_134520924	IS_ANNOTATED_BY
Root_134520924	Flag_134520924	IS_ANNOTATED_BY
Root_134520924	Flag_134520924	IS_ANNOTATED_BY
Root_134520928	Flag_134520928	IS_ANNOTATED_BY
Root_134520932	Flag_134520932	IS_ANNOTATED_BY
Root_134520932	Flag_134520932	IS_ANNOTATED_BY
Root_134520932	Flag_134520932	IS_ANNOTATED_BY
Root_134520932	Flag_134520932	IS_ANNOTATED_BY
Root_134520936	Flag_134520936	IS_ANNOTATED_BY
Root_134520936	Flag_134520936	IS_ANNOTATED_BY
Root_134520936	Flag_134520936	IS_ANNOTATED_BY
Root_134520936	Flag_134520936	IS_ANNOTATED_BY
Root_134521160	Flag_134521160	IS_ANNOTATED_BY
Root_134521160	Flag_134521160	IS_ANNOTATED_BY
Root_134521164	Flag_134521164	IS_ANNOTATED_BY
Root_134521164	Flag_134521164	IS_ANNOTATED_BY
Root_134521164	Flag_134521164	IS_ANNOTATED_BY
Root_134521176	Flag_134521176	IS_ANNOTATED_BY
Root_134521180	Flag_134521180	IS_ANNOTATED_BY
Root_134521184	Flag_134521184	IS_ANNOTATED_BY
